EngagementID,ContentID,ContentType,Views,Clicks,Likes,EngagementDate,CampaignID,ProductID
1,39,BLOG,1883,671,190,30-08-2023 00:00,1,9
2,48,BLOG,5280,532,114,28-03-2023 00:00,18,20
3,16,VIDEO,1905,204,32,08-12-2023 00:00,7,14
4,43,VIDEO,2766,257,17,21-01-2025 00:00,19,20
6,32,SOCIAL MEDIA,8237,1641,648,18-06-2023 00:00,18,19
7,33,SOCIAL MEDIA,750,34,1,01-10-2025 00:00,12,2
8,47,BLOG,891,35,1,31-03-2025 00:00,17,6
9,48,BLOG,5571,1527,123,19-03-2024 00:00,13,16
10,4,BLOG,4279,297,25,03-12-2023 00:00,15,15
11,38,SOCIAL MEDIA,4297,234,29,26-05-2024 00:00,19,6
12,29,SOCIAL MEDIA,7877,2037,396,15-06-2023 00:00,3,10
13,14,VIDEO,1796,136,12,04-02-2025 00:00,12,18
14,2,SOCIAL MEDIA,6837,2251,317,26-08-2023 00:00,16,2
15,16,SOCIAL MEDIA,36,1,0,20-10-2025 00:00,6,19
16,2,SOCIAL MEDIA,5980,1227,276,06-07-2023 00:00,17,16
17,35,BLOG,563,104,9,17-05-2024 00:00,18,10
18,12,VIDEO,321,15,0,26-10-2024 00:00,19,8
20,35,BLOG,41,7,0,07-10-2024 00:00,4,6
21,26,BLOG,1037,111,7,28-12-2024 00:00,1,6
22,11,VIDEO,5543,1288,357,04-04-2024 00:00,12,16
26,31,VIDEO,1742,71,2,04-06-2025 00:00,20,20
27,42,VIDEO,3225,337,72,27-07-2024 00:00,4,3
28,29,SOCIAL MEDIA,165,48,7,22-12-2023 00:00,2,16
29,15,VIDEO,58,2,0,02-08-2025 00:00,17,20
31,1,SOCIAL MEDIA,1079,44,2,10-06-2025 00:00,4,4
32,37,BLOG,441,9,0,04-11-2025 00:00,19,16
33,44,BLOG,1415,76,3,21-06-2025 00:00,1,7
34,1,SOCIAL MEDIA,1223,127,29,18-04-2023 00:00,11,4
35,2,VIDEO,704,17,1,26-07-2025 00:00,13,15
37,32,VIDEO,9759,3095,400,24-01-2023 00:00,7,1
39,24,VIDEO,4881,1204,373,02-09-2023 00:00,11,11
40,18,VIDEO,3222,793,215,02-04-2024 00:00,4,4
41,8,SOCIAL MEDIA,4654,1083,193,01-06-2024 00:00,2,12
42,16,BLOG,6771,2617,840,23-07-2023 00:00,17,8
45,9,BLOG,797,103,4,19-10-2024 00:00,15,12
46,5,BLOG,2549,228,11,29-09-2024 00:00,1,1
47,41,VIDEO,1145,130,33,08-06-2024 00:00,3,12
48,19,VIDEO,1648,163,15,26-01-2025 00:00,17,8
50,43,SOCIAL MEDIA,1066,110,11,23-06-2024 00:00,15,14
